 08B BGR ZBW MERRYMEETING FIELD ARPT, BOWDOINHAM, ME
 08C LAN ZAU RIVERVIEW ARPT, JENISON, MI
 08D GFK ZMP STANLEY MUNI ARPT, STANLEY, ND
 08F MLC ZFW CITY OF COALGATE ARPT, COALGATE, OK
 08G CLE ZOB SALT FORK LODGE HELIPORT, CAMBRIDGE, OH
 08K OLU ZMP HARVARD STATE ARPT, HARVARD, NE
 08M GWO ZME CARTHAGE-LEAKE COUNTY ARPT, CARTHAGE, MS
 08N IPT ZNY KELLER BROTHERS ARPT, LEBANON, PA
 08R BDR ZBW RICHMOND ARPT, WEST KINGSTON, RI
 08S         BAILEYS LANDING CVLN WOS, SOMMERS, MT
 08U RNO ZLC STEVENS-CROSBY ARPT, NORTH FORK, NV
 08Z         GEOREF PT., NAWILIWILI,KAUAI, HI
 09A ANB ZME BUTLER-CHOCTAW COUNTY ARPT, BUTLER, AL
 09I PNM ZMP INTERNATIONAL FALLS SPB, INTERNATIONAL FALLS, MN
 09J MCN ZJX JEKYLL ISLAND ARPT, JEKYLL ISLAND, GA
 09K OLU ZDV SARGENT MUNI ARPT, SARGENT, NE
 09M GWO ZME CHARLESTON MUNI ARPT, CHARLESTON, MS
 09N ISP ZBW AIRHAVEN ARPT, STAATSBURG, NY
 09R CXO ZHU TYLER COUNTY ARPT, WOODVILLE, TX
 09S SEA ZSE SULLIVAN LAKE STATE ARPT, METALINE FALLS, WA
 09W DCA ZDC SOUTH CAPITOL STREET HELIPORT, WASHINGTON, DC
 09Y PNM ZMP WIPLINE SPB, INVER GROVE HGTS, MN
 09Z         GEOREF PT., MAKAHUENA POINT,KAUAI, HI
 0A0 SEA     WALLULA FLTWO, WALLULA, WA
 0A2 AND ZTL HESTER MEMORIAL ARPT, CALHOUN FALLS, SC
 0A3 BNA ZME SMITHVILLE MUNI ARPT, SMITHVILLE, TN
 0A4 BNA ZTL JOHNSON CITY STOL, JOHNSON CITY, TN
 0A6         ARPT, BAXTER SPRINGS, KS
 0A7 RDU ZTL HENDERSONVILLE ARPT, HENDERSONVILLE, NC
 0A8 ANB ZTL BIBB COUNTY ARPT, CENTREVILLE, AL
 0A9 BNA ZTL ELIZABETHTON MUNI ARPT, ELIZABETHTON, TN
 0AK ENA ZAN PILOT STATION ARPT, PILOT STATION, AK
 0B1 BGR ZBW BETHEL REGIONAL ARPT, BETHEL, ME
 0B2 BGR ZBW BREWER ARPT, BREWER, ME
 0B4 OLU ZMP HARTINGTON MUNI ARPT, HARTINGTON, NE
 0B5 BTV ZBW TURNERS FALLS ARPT, MONTAGUE, MA
 0B7 BTV ZBW WARREN-SUGARBUSH ARPT, WARREN, VT
 0B8 BDR ZBW ELIZABETH FIELD ARPT, FISHERS ISLAND, NY
 0B9         GOAT ISLAND CGS/WOS, CAPE PORPOISE, ME
 0C0 IKK ZAU DACY ARPT, HARVARD, IL
 0C1 COU     TRIPLE R ARPT, DEARBORN, MO
 0C1 COU ZKC TRIPLE R ARPT, DEARBORN, MO
 0C2 IKK ZAU HINCKLEY ARPT, HINCKLEY, IL
 0C4 OLU ZMP PENDER MUNI ARPT, PENDER, NE
 0C5 LAN ZMP CANADIAN LAKES ARPT, MECOSTA, MI
 0C7 IKK ZAU GRANDPAS' FARM MENDOTA ARPT, MENDOTA, IL
 0C8 IKK ZAU CUSHING FIELD LTD ARPT, NEWARK, IL
 0C9 MIV ZNY COACH & PADDOCK HELIPORT, CLINTON, NJ
 0D6 OLU ZMP WILBER MUNICIPAL ARPT, WILBER, NE
